I am Taro Yamada.	わたしは山田太郎です。
I am a tennis player.	わたしはテニス選手です。
I am from Japan.	わたしは日本から来ました。
I'm Takashi.	わたしはタカシです。
I'm a soccer player.	わたしはサッカー選手です。
I'm from China.	わたしは中国から来ました。
I am not Bob.	わたしはボブではありません。
I am not a teacher.	わたしは先生ではありません。
I am not from Kyoto.	わたしは京都から来ていません。
I'm not Mika.	わたしはミカではありません。
I'm not a swimmer.	わたしは水泳選手ではありません。
I'm not from Tokyo.	わたしは東京から来ていません。
You are Hanako.	あなたは花子です。
You are from Kanagawa.	あなたは神奈川から来ました。
You are a pianist.	あなたはピアニストです。
You're John.	あなたはジョンです。
You're from Saitama.	あなたは埼玉から来ました。
You're a programmer.	あなたはプログラマーです。
You are not Ken.	あなたはケンではありません。
You are not from Osaka.	あなたは大阪から来ていません。
Yor are not a pilot.	あなたはパイロットではありません。
You're not Risa.	あなたはリサではありません。
You're not from Chiba.	あなたは千葉から来ていません。
You're not a doctor.	あなたは医者ではありません。
You aren't Kumi.	あなたはクミではありません。
You aren't from Nagoya.	あなたは名古屋から来ていません。
You aren't an artist.	あなたはアーティストではありません。
She is Hanako.	彼女は花子です。
He is Haruki.	彼はハルキです。
She's Mika.	彼女はミカです。
He's Saburo.	彼は三郎です。
She is a singer.	彼女は歌手です。
He is a prince.	彼は王子です。
She is a cook.	彼女は料理人です。
He is a boxer.	彼はボクサーです。
She is not a student.	彼女は生徒ではありません。
He is not a teacher.	彼は先生ではありません。
She isn't a soccer player.	彼女はサッカー選手ではありません。
He isn't a doctor.	彼は医者ではありません。
She is not Risa.	彼女はリサではありません。
He is not Bob.	彼はボブではありません。
She's not Nancy.	彼女はナンシーではありません。
He's not Mike.	彼はマイクではありません。
This is a pen.	これはペンです。
That is a ball.	あれはボールです。
That's a car.	あれは車です。
This's an apple.	これはりんごです。
It's an orange.	それはオレンジです。
It is an eraser.	それは消しゴムです。
This is America.	これはアメリカです。
That is China.	あれは中国です。
It is Japan.	それは日本です。
This is not Hokkaido.	これは北海道ではありません。
That is not Aomori.	あれは青森ではありません。
It is not Hyogo.	それは兵庫ではありません。
This isn't London.	これはロンドンではありません。
That isn't Kyoto.	あれは京都ではありません。
It isn't Shimane.	それは島根ではありません。
That's not bread.	あれはパンではありません。
It's not a pizza.	それはピザではありません。
