I have some books.	わたしはいくつかの本を持っています。
I have some balls.	わたしはいくつかのボールを持っています。
I have some bags.	わたしはいくつかのカバンを持っています。
I do not have any books.	わたしは本を1つも持っていません。
I do not have any balls.	わたしはボールを1つも持っていません。
I don't have any bags.	わたしはカバンを1つも持っていません。
I don't have any pens.	わたしはペンを1つも持っていません。
I have two babies.	わたしには2人の赤ちゃんがいます。
I have three classes.	わたしは3つのクラスを持っています。
I have four boxes.	わたしは4冊の本を持っています。
I do not have leaves.	わたしは葉っぱをもっていません。
I do not have knives.	わたしはナイフを持っていません。
I don't have wives.	わたしには妻がいません。
I don't have any glasses.	わたしは一つもメガネを持っていません。
I have many apples.	わたしはたくさんのりんごを持っています。
I have many cups.	わたしはたくさんのカップを持っています。
I have many desks.	わたしはたくさんの机を持っています。
I have many dishes.	わたしはたくさんのおさらを持っています。
